Ciudad,País,Latitud,Longitud,Compañía,Cantidad
Buenos Aires,Argentina,-34.6037,-58.3816,"Epic Aerospace, Innova Space, TLON Space, LIA Aerospace, Satellogic, Novo Space",6
Catamarca,Argentina,-28.4731,-65.7954,Innova Space,1
Córdoba,Argentina,-31.4135,-64.181,"Satellogic, LatAmSat",2
California,Estados Unidos,37.2718,-119.4179,"Skyloom Global, Epic Aerospace, Novo Space",3
Colorado,Estados Unidos,39.7392,-104.9903,Skyloom Global,1
Montevideo,Uruguay,-34.9011,-56.1645,"Epic Aerospace, Satellogic",2
Durham,Reino Unido,54.7723,-1.5807,LIA Aerospace,1
Tórtola,Islas Vírgenes Británicas,18.4252,-64.6399,Satellogic,1
Barcelona,España,41.3851,2.1734,Satellogic,1
Carolina del Norte,Estados Unidos,35.4979,-80.8431,Satellogic,1
Rotterdam,Países Bajos,51.9225,4.4891,Satellogic,1
Tel Aviv,Israel,32.0853,34.7818,Satellogic,1
Luxemburgo,Luxemburgo,49.8158,6.1296,Novo Space,1
